Gene,Count
LET-7I,36
MIR-155,34
MIR-31,34
MIR-142,34
MIR-222,32
MIR-34A,32
MIR-181A-2,32
MIR-1915,32
MIR-23A,30
MIR-202,28
MIR-22,28
MIR-223,28
LET-7B,26
MIR-9-1,26
MIR-7-3,24
MIR-193B,24
MIR-34B,22
MIR-452,19
MIR-1911,19
MIR-1224,19
MIR-150,19
MIR-146B,19
MIR-205,18
MIR-26A-2,18
MIR-124-1,18
MIR-21,18
MIR-130A,18
MIR-206,18
MIR-657,18
MIR-548O,18
MIR-146A,18
MIR-1250,18
MIR-663B,18
MIR-1262,18
MIR-1265,18
MIR-607,17
MIR-511,17
MIR-1203,17
MIR-29B-1,17
MIR-221,17
MIR-1249,17
MIR-101-1,17
MIR-548J,17
MIR-488,17
MIR-33B,17
LET-7F-2,17
MIR-612,17
MIR-1226,17
MIR-1976,17
MIR-510,17
MIR-593,17
MIR-629,17
MIR-376A-1,17
MIR-224,17
MIR-708,16
MIR-513C,16
MIR-1538,16
MIR-513B,16
MIR-942,16
MIR-29B-2,16
MIR-301A,16
MIR-326,16
MIR-335,16
MIR-656,16
MIR-342,16
MIR-372,16
MIR-361,16
MIR-627,16
MIR-616,16
MIR-576,16
MIR-551B,16
MIR-507,16
MIR-184,16
MIR-26A-1,16
MIR-148A,16
MIR-1910,16
MIR-1294,16
LET-7F-1,16
MIR-129-1,16
MIR-1264,16
MIR-1251,16
MIR-149,16
MIR-1257,16
MIR-30A,15
MIR-1276,15
MIR-92B,15
MIR-1236,15
MIR-934,15
MIR-29A,15
MIR-374A,15
MIR-1914,15
MIR-29C,15
MIR-208A,15
MIR-889,15
MIR-135A-1,15
MIR-376A-2,15
MIR-509-3,15
MIR-1288,15
MIR-641,15
MIR-1238,15
MIR-185,15
MIR-502,15
MIR-330,15
MIR-505,15
MIR-423,15
MIR-181C,15
MIR-766,15
MIR-15A,15
MIR-1304,15
MIR-513A-2,15
MIR-1298,15
MIR-27A,15
MIR-298,15
MIR-652,15
MIR-218-2,15
MIR-216B,14
MIR-1197,14
MIR-28,14
MIR-579,14
MIR-301B,14
MIR-30C-1,14
MIR-374B,14
MIR-147B,14
MIR-541,14
MIR-126,14
MIR-9-2,14
MIR-98,14
MIR-767,14
MIR-1180,14
MIR-302C,14
MIR-24-2,14
LET-7G,14
MIR-1185-1,14
MIR-183,14
MIR-186,14
MIR-195,14
MIR-1912,14
MIR-197,14
MIR-509-1,14
MIR-1284,14
MIR-1913,14
MIR-431,14
MIR-589,14
MIR-329-1,13
MIR-509-2,13
MIR-504,13
MIR-668,13
MIR-129-2,13
MIR-2113,13
MIR-1290,13
MIR-26B,13
MIR-770,13
MIR-448,13
MIR-92A-1,13
MIR-506,13
MIR-193A,13
MIR-16-1,13
MIR-144,13
MIR-653,13
LET-7A-3,13
MIR-130B,13
MIR-605,13
MIR-1227,13
MIR-573,13
MIR-492,13
MIR-647,13
MIR-760,13
LET-7D,13
MIR-508,12
MIR-338,12
MIR-513A-1,12
MIR-181D,12
MIR-92A-2,12
MIR-30B,12
MIR-943,12
MIR-1825,12
MIR-217,12
MIR-96,12
MIR-190B,12
MIR-16-2,12
MIR-941-1,12
MIR-212,12
MIR-135A-2,12
MIR-2110,11
MIR-602,11
MIR-138-2,11
MIR-380,11
MIR-329-2,11
LET-7A-2,11
MIR-140,11
MIR-105-1,11
MIR-650,11
MIR-450B,11
MIR-933,11
MIR-1228,11
MIR-17,10
MIR-412,10
MIR-548A-3,10
MIR-105-2,10
MIR-543,10
MIR-181B-1,10
MIR-874,10
MIR-18A,10
MIR-494,10
MIR-1296,10
MIR-324,10
MIR-376C,10
MIR-23B,10
MIR-658,10
MIR-935,10
MIR-30C-2,10
MIR-1-1,10
MIR-937,9
MIR-660,9
MIR-153-2,9
MIR-526B,9
MIR-132,9
MIR-483,9
MIR-496,8
MIR-454,8
MIR-493,8
MIR-339,8
MIR-585,8
MIR-30D,8
MIR-410,8
MIR-136,8
MIR-1539,8
MIR-518A-1,8
MIR-99A,8
MIR-517C,8
MIR-519E,8
MIR-519A-1,8
MIR-194-2,8
MIR-1247,7
MIR-1299,7
MIR-1256,7
MIR-548D-2,7
MIR-320B-2,7
MIR-1234,7
MIR-1267,7
MIR-449B,7
MIR-659,7
MIR-1303,7
MIR-518F,7
MIR-1266,7
