Gene Set,Size,P Value,Description,Gene
GO:0006959,humoral immune response,-2.1152,<2.2e-16,MIR-9-1
GO:0002250,adaptive immune response,-2.1318,<2.2e-16,MIR-9-1
GO:0001819,positive regulation of cytokine production,-2.1575,<2.2e-16,MIR-9-1
GO:0002521,leukocyte differentiation,-2.1656,<2.2e-16,MIR-9-1
GO:0002694,regulation of leukocyte activation,-2.1677,<2.2e-16,MIR-9-1
GO:0002526,acute inflammatory response,-2.1768,<2.2e-16,MIR-9-1
GO:0032635,interleukin-6 production,-2.1784,<2.2e-16,MIR-9-1
GO:0002764,immune response-regulating signaling pathway,-2.1896,<2.2e-16,MIR-9-1
GO:0032637,interleukin-8 production,-2.2062,<2.2e-16,MIR-9-1
GO:0042116,macrophage activation,-2.2236,<2.2e-16,MIR-9-1
GO:0001525,angiogenesis,-2.2469,<2.2e-16,MIR-9-1
GO:0032609,interferon-gamma production,-2.2613,<2.2e-16,MIR-9-1
GO:0042110,T cell activation,-2.28,<2.2e-16,MIR-9-1
GO:0034340,response to type I interferon,1.9698,0.00024716,MIR-600
GO:0032633,interleukin-4 production,-1.4783,0.15110,MIR-503
GO:0045576,mast cell activation,-1.2257,0.38702,MIR-503
GO:0002448,mast cell mediated immunity,-1.2297,0.39397,MIR-503
GO:0007159,leukocyte cell-cell adhesion,2.0704,<2.2e-16,MIR-22
GO:0002250,adaptive immune response,2.0546,<2.2e-16,MIR-22
GO:0032609,interferon-gamma production,1.9964,<2.2e-16,MIR-22
GO:0002449,lymphocyte mediated immunity,1.9883,<2.2e-16,MIR-22
GO:0002448,mast cell mediated immunity,1.9682,<2.2e-16,MIR-22
GO:0032635,interleukin-6 production,1.9492,<2.2e-16,MIR-22
GO:0002285,lymphocyte activation involved in immune response,1.9492,<2.2e-16,MIR-22
GO:0002526,acute inflammatory response,1.9349,<2.2e-16,MIR-22
GO:0002694,regulation of leukocyte activation,1.9334,<2.2e-16,MIR-22
GO:0001819,positive regulation of cytokine production,1.9321,<2.2e-16,MIR-22
GO:0032615,interleukin-12 production,1.9288,<2.2e-16,MIR-22
GO:0002446,neutrophil mediated immunity,1.9187,<2.2e-16,MIR-22
GO:0002521,leukocyte differentiation,1.9153,<2.2e-16,MIR-22
GO:0002764,immune response-regulating signaling pathway,1.8986,<2.2e-16,MIR-22
GO:0002250,adaptive immune response,2.0914,<2.2e-16,MIR-155
GO:0002449,lymphocyte mediated immunity,2.0632,<2.2e-16,MIR-155
GO:0002764,immune response-regulating signaling pathway,2.0473,<2.2e-16,MIR-155
GO:0002697,regulation of immune effector process,2.0333,<2.2e-16,MIR-155
GO:0002694,regulation of leukocyte activation,2.0333,<2.2e-16,MIR-155
GO:0007159,leukocyte cell-cell adhesion,2.0328,<2.2e-16,MIR-155
GO:0002285,lymphocyte activation involved in immune response,2.023,<2.2e-16,MIR-155
GO:0001819,positive regulation of cytokine production,2.0111,<2.2e-16,MIR-155
GO:0002440,production of molecular mediator of immune response,1.9577,<2.2e-16,MIR-155
GO:0001818,negative regulation of cytokine production,1.953,<2.2e-16,MIR-155
GO:0002521,leukocyte differentiation,1.9472,<2.2e-16,MIR-155
GO:0002446,neutrophil mediated immunity,1.9228,<2.2e-16,MIR-155
GO:0002683,negative regulation of immune system process,1.9209,<2.2e-16,MIR-155
GO:0002526,acute inflammatory response,1.8863,<2.2e-16,MIR-155
GO:0006959,humoral immune response,1.8849,<2.2e-16,MIR-155
GO:0002269,leukocyte activation involved in inflammatory response,1.8325,<2.2e-16,MIR-155
GO:0001773,myeloid dendritic cell activation,1.7826,<2.2e-16,MIR-155
GO:0002437,inflammatory response to antigenic stimulus,2.3435,0.53936,MIR-1-1
